field,split,label,n_changed,changed_rate
txt_morphology_label,test,0,3,0.07142857142857142
txt_morphology_label,test,1,1,0.023809523809523808
txt_morphology_label,train,0,8,0.026578073089700997
txt_morphology_label,train,1,5,0.016611295681063124
txt_morphology_label,val,0,2,0.0425531914893617
txt_morphology_label,val,1,0,0.0
txt_negative_label,test,0,0,0.0
txt_negative_label,test,1,0,0.0
txt_negative_label,train,0,0,0.0
txt_negative_label,train,1,0,0.0
txt_negative_label,val,0,0,0.0
txt_negative_label,val,1,0,0.0
txt_uncertain_label,test,0,0,0.0
txt_uncertain_label,test,1,0,0.0
txt_uncertain_label,train,0,0,0.0
txt_uncertain_label,train,1,0,0.0
txt_uncertain_label,val,0,0,0.0
txt_uncertain_label,val,1,0,0.0
txt_diag_hint_label,test,0,0,0.0
txt_diag_hint_label,test,1,0,0.0
txt_diag_hint_label,train,0,0,0.0
txt_diag_hint_label,train,1,0,0.0
txt_diag_hint_label,val,0,0,0.0
txt_diag_hint_label,val,1,0,0.0
image_morphology_weak_label,test,0,3,0.07142857142857142
image_morphology_weak_label,test,1,1,0.023809523809523808
image_morphology_weak_label,train,0,8,0.026578073089700997
image_morphology_weak_label,train,1,5,0.016611295681063124
image_morphology_weak_label,val,0,2,0.0425531914893617
image_morphology_weak_label,val,1,0,0.0
discordance_state_label,test,0,0,0.0
discordance_state_label,test,1,0,0.0
discordance_state_label,train,0,0,0.0
discordance_state_label,train,1,0,0.0
discordance_state_label,val,0,0,0.0
discordance_state_label,val,1,0,0.0
