split,error_type,n_errors,proportion_of_errors,false_negative_count,false_positive_count,mean_pred_prob,mean_abs_error
test_reporting_only,long_report_or_multivisit_uncertainty,21,0.2413793103448276,0,21,0.6580210782232738,0.6580210782232738
test_reporting_only,morphology_positive_false_negative,17,0.19540229885057472,17,0,0.3738619518630645,0.6261380481369355
test_reporting_only,high_confidence_false_positive,16,0.1839080459770115,0,16,0.8628063797950745,0.8628063797950745
test_reporting_only,morphology_low_confidence_false_positive,15,0.1724137931034483,0,15,0.6219408869743347,0.6219408869743347
test_reporting_only,other_error,13,0.14942528735632185,0,13,0.720806245620434,0.720806245620434
test_reporting_only,borderline_error,5,0.05747126436781609,1,4,0.5488842844963073,0.5574493765830993
val,morphology_positive_false_negative,28,0.26666666666666666,28,0,0.38383159254278454,0.6161684074572155
val,long_report_or_multivisit_uncertainty,22,0.20952380952380953,0,22,0.635416941209273,0.635416941209273
val,other_error,22,0.20952380952380953,1,21,0.6913923187689348,0.7016852227124301
val,high_confidence_false_positive,13,0.12380952380952381,0,13,0.8460352099858798,0.8460352099858798
val,morphology_low_confidence_false_positive,11,0.10476190476190476,0,11,0.6685363704508002,0.6685363704508002
val,borderline_error,9,0.08571428571428572,1,8,0.5492830177148184,0.5618860291110145
