cross_seed_group,metric,seed_0_mean,seed_42_mean,seed_3407_mean,mean_across_seeds,std_across_seeds,positive_seed_count,negative_seed_count,zero_or_missing_seed_count,direction_consistent_2_of_3,sign_change_across_seeds
all_seed_fn,delta_remove_diffuse,-0.060505655727216175,-0.040778103683676035,-0.10119366033801011,-0.0674924732496341,0.02515447721290635,0,3,0,1,0
all_seed_fn,delta_remove_negative,-0.07118918161307063,-0.040384575724601746,-0.11513919675988811,-0.07557098469918683,0.0306753265698068,0,3,0,1,0
all_seed_fn,delta_prefix_only,-0.026101980358362198,-0.000520557165145874,0.030812360612409457,0.0013966076963004617,0.02327469574256969,1,2,0,0,1
all_seed_fn,delta_remove_prefix,-0.0990417328264032,-0.12154102804405349,-0.1460000422916242,-0.12219426772069364,0.019176213538552016,0,3,0,1,0
all_seed_tp,delta_remove_diffuse,-0.35446216848989326,-0.37969788039724034,-0.5081958030350506,-0.41411861730739474,0.06731566407454039,0,3,0,1,0
all_seed_tp,delta_remove_negative,-0.3227554311354955,-0.2851162776350975,-0.42122056847438216,-0.34303075908165837,0.05738415105648067,0,3,0,1,0
all_seed_tp,delta_prefix_only,-0.22425774981578192,-0.14350551863511404,-0.2237543227771918,-0.19717253040936258,0.03794886449138977,0,3,0,1,0
all_seed_tp,delta_remove_prefix,-0.4169883703192075,-0.4535078122280538,-0.5002442059728006,-0.45691346284002066,0.034074256016946476,0,3,0,1,0
majority_fn,delta_remove_diffuse,-0.20027132363369068,-0.32182084877664846,-0.3042645330230395,-0.27545223514445955,0.053641918604779286,0,3,0,1,0
majority_fn,delta_remove_negative,-0.10661427490413189,-0.08575048545996349,-0.16948509588837624,-0.12061661875082387,0.035589515973108866,0,3,0,1,0
majority_fn,delta_prefix_only,-0.07896425947546959,-0.06173374752203623,-0.041050621618827186,-0.060582876205444336,0.015499556175832315,0,3,0,1,0
majority_fn,delta_remove_prefix,-0.2195526516685883,-0.3783769713093837,-0.2894753290650745,-0.2958016506810155,0.06499388630854253,0,3,0,1,0
seed_sensitive_positive,delta_remove_diffuse,-0.24157998338341713,-0.46556127816438675,-0.43662561662495136,-0.38125562605758506,0.09946953300554758,0,3,0,1,0
seed_sensitive_positive,delta_remove_negative,-0.10064541175961494,-0.1760277971625328,-0.223687881603837,-0.16678703017532825,0.05065508317517227,0,3,0,1,0
seed_sensitive_positive,delta_prefix_only,-0.13734779134392738,-0.18335238099098206,-0.20707988739013672,-0.1759266865750154,0.028948195198997925,0,3,0,1,0
seed_sensitive_positive,delta_remove_prefix,-0.23945621401071548,-0.32418300956487656,-0.3714219331741333,-0.31168705224990845,0.05459456304122016,0,3,0,1,0
