variable,n_hard,n_control,hard_mean,hard_median,hard_std,hard_iqr,control_mean,control_median,control_std,control_iqr,mean_difference,median_difference,cohens_d,cliffs_delta,bootstrap_mean_difference_ci_low,bootstrap_mean_difference_ci_high
pred_prob,4,4,0.7082286377747854,0.7106877068678539,0.09197373694583486,0.0954685012499491,0.05637388319397961,0.06164792956163484,0.02059084706575876,0.026947391064216668,0.6518547545808058,0.6490397773062191,9.780978551321494,1.0,0.5700518383334081,0.7279682648368182
logit,4,4,0.9972700017193953,0.9485520223776499,0.5218968024319737,0.48397118474046386,-2.921624342600505,-2.796481211980184,0.44795923555118855,0.5263343652089438,3.9188943443199,3.745033234357834,8.058011792738258,1.0,3.3400772174509865,4.473276657486955
text_classifier_contribution,4,4,0.1136932168155908,0.12721662223339075,0.06194376702667083,0.0396718649814526,-0.12495289075498775,-0.11447833261142171,0.11476833489332686,0.18083788594231004,0.23864610757057855,0.24169495484481246,2.5878106953243445,1.0,0.1267005429098692,0.34793155582932117
image_classifier_contribution,4,4,-0.34395156955967354,-0.3996251430362464,0.21208046495519706,0.2691051118696729,-0.23794271827985844,-0.12608307662109536,0.4950182990584353,0.6735619291042287,-0.1060088512798151,-0.27354206641515105,-0.27838268787403603,-0.25,-0.5282468108770748,0.35400177189148907
bio_classifier_contribution,4,4,-0.11073265162607032,-0.1226231828331947,0.050610918131441945,0.03594331877926989,-0.07338609918951985,-0.06283628381788726,0.08089750958592634,0.11647333266834421,-0.03734655243655047,-0.05978689901530744,-0.5534835810040638,-0.375,-0.11383779399717851,0.04331298234562078
e_synergy,4,4,1.3468303432067237,1.452386240164439,0.5991457671402856,0.523325468103091,-2.3039312660694122,-2.131677617629369,0.5571652795761903,0.5065898299217222,3.650761609276136,3.584063857793808,6.310340070441993,1.0,2.9914093690613908,4.374626522262891
text_embedding_norm,4,4,1.6332216560840607,1.6203214526176453,0.14873426557981895,0.23770551880200674,1.7075442870457969,1.7111315727233887,0.20635995180902636,0.2992634177207947,-0.07432263096173619,-0.09081012010574341,-0.4132023195517286,-0.25,-0.2877840230862299,0.15102986569205917
image_embedding_norm,4,4,15.569640556971233,15.458192189534506,0.2606502646029828,0.17934536933898926,15.634848833084106,15.781329154968262,0.4081834427072263,0.3030981222788469,-0.06520827611287316,-0.3231369654337559,-0.19041356509087615,-0.125,-0.436757459243138,0.35453206698099826
text_anchor_cosine,4,4,-0.004941071383655093,0.0017990532020727514,0.018488983167140677,0.015348699875175958,0.011959069563696776,0.009394447629650419,0.022131681423133206,0.028381422627717257,-0.016900140947351868,-0.007595394427577668,-0.828770016858761,-0.375,-0.041315255531420306,0.006360442672545672
image_anchor_cosine,4,4,0.010167267328749108,0.005067759814361751,0.014717575658735818,0.014485356242706379,0.035039994399994584,0.033814804318050534,0.015564541240549195,0.010189667188872903,-0.024872727071245476,-0.028747044503688785,-1.6420915493143953,-0.875,-0.04233147803073123,-0.007171456298480413
text_image_cosine,4,4,-0.17237070420136053,-0.1850432592133681,0.08697744829063415,0.12438632703075811,-0.2078412069628636,-0.2031946815550327,0.027920622589282403,0.022006991629799216,0.03547050276150307,0.018151422341664614,0.549134335940582,0.125,-0.03829575370376311,0.11190651193416368
delta_mask_image,4,4,0.06160383174816768,0.052893469731013,0.04840690607315351,0.05565889924764632,0.041833519159505755,0.037682345757881784,0.039285958963238894,0.055261960097899035,0.019770312588661923,0.015211123973131215,0.44847967479761136,0.375,-0.03277162581992643,0.07418067815403143
delta_mask_text,4,4,-0.27144061153133714,-0.3068672865629196,0.14092505360395743,0.15465109422802925,0.4345467175977925,0.45497658227880794,0.0978982956671384,0.13143564155325294,-0.7059873291291296,-0.7618438688417275,-5.8185382078285715,-1.0,-0.8351930488832294,-0.5541094043292105
delta_mask_bio,4,4,0.09901209175586696,0.09670115510622655,0.02792625523636741,0.0316269447406133,-0.02501199301332231,-0.025382916598270303,0.01182672610583018,0.00740680191665884,0.12402408476918927,0.12208407170449685,5.78344747609963,1.0,0.0997393806096321,0.14910794239452413
