variable,n_hard,n_control,hard_mean,hard_median,hard_std,hard_iqr,control_mean,control_median,control_std,control_iqr,mean_difference,median_difference,cohens_d,cliffs_delta,bootstrap_mean_difference_ci_low,bootstrap_mean_difference_ci_high
pred_prob,11,11,0.31787754081641184,0.34683143099149066,0.1286606479013714,0.12652193754911428,0.851498791665742,0.8580896059672037,0.07477227387729292,0.10499439636866259,-0.5336212508493302,-0.511258174975713,-5.071256924092325,-1.0,-0.6198933856336006,-0.45734522851804904
logit,11,11,-0.9119904133858103,-0.650266021490097,0.8500587489550087,0.5686686784029008,2.096011501370054,1.853762189547221,1.017998556689176,0.9426358938217163,-3.0080019147558645,-2.504028211037318,-3.2075242378178537,-1.0,-3.864414865738063,-2.3521747417860865
text_classifier_contribution,11,11,0.00800341328210903,0.012251023203134535,0.04079858468274533,0.05599727419515445,0.12328618990652482,0.1308219879865646,0.06274708524712153,0.08885214415689312,-0.11528277662441579,-0.11857096478343007,-2.178304958899828,-0.8842975206611571,-0.15581628461086153,-0.07332485519547126
image_classifier_contribution,11,11,-0.5358434206044133,-0.5244001361231009,0.28235357205190054,0.3176969224587083,-0.2576168524948033,-0.3347049665947755,0.2735260691119828,0.28725151220957434,-0.27822656810960994,-0.18969516952832538,-1.0009054920058393,-0.6033057851239669,-0.49806300657378,-0.04909628618819019
bio_classifier_contribution,11,11,-0.11702792662562746,-0.13400306552648542,0.08529939018628259,0.06209647531310716,-0.026296521791002968,-0.09683964153130847,0.17571720466966795,0.13472663114468256,-0.0907314048346245,-0.03716342399517694,-0.6569177663187353,-0.4049586776859504,-0.20603960744302832,0.009402708951948231
e_synergy,11,11,-0.2134036217449289,0.1451320946216583,0.7382098553184401,0.8520795616010824,2.26046962629665,2.1153185764948526,0.8225786810970697,0.5519104997316995,-2.473873248041579,-1.9701864818731942,-3.1654087649631637,-1.0,-3.161307873108396,-1.9292439544404099
text_embedding_norm,11,11,1.5822590300531099,1.5865637461344402,0.08850774837433942,0.12329014142354344,1.6884866411035715,1.624598224957784,0.1410975554062524,0.24119981129964208,-0.10622761105046163,-0.038034478823343765,-0.9019499109678409,-0.4049586776859504,-0.20967915202632095,-0.013091917200521693
image_embedding_norm,11,11,15.058657386086203,15.124749819437662,0.9162191181646315,0.8946793874104824,15.593291484948361,15.824597358703613,0.3703680036290431,0.5283613204956055,-0.5346340988621581,-0.6998475392659511,-0.765079626901352,-0.4049586776859504,-1.1525059244849503,-0.013889900843302922
text_anchor_cosine,11,11,-0.013713189428954404,-0.0103259968260924,0.013045007178120755,0.010782447333137182,-0.02114077510707304,-0.0091420356184244,0.022064145726308104,0.03274775125707188,0.007427585678118635,-0.0011839612076679999,0.40980796966097266,0.0743801652892562,-0.005997663169083286,0.021911821571517373
image_anchor_cosine,11,11,0.015905566118431826,0.018504398564497662,0.015015291229713951,0.020800687217464052,0.00460060194812039,0.002762883280714367,0.014104507356919378,0.012136511659870565,0.011304964170311436,0.015741515283783297,0.776065713363488,0.45454545454545453,-0.00038439758954513035,0.022444695515106566
