label,role,variable,hard_patients,available_controls,matched_hard_patients,unmatched_hard_patients,smd_before,abs_smd_before,smd_after,abs_smd_after,balanced_after
1,positive,report_length,36,11,11,25,0.7450300958037966,0.7450300958037966,1.1145748339802288,1.1145748339802288,0
1,positive,selected_n_visits,36,11,11,25,0.7983364469541514,0.7983364469541514,0.926084733220795,0.926084733220795,0
1,positive,used_images,36,11,11,25,0.7983364469541514,0.7983364469541514,0.926084733220795,0.926084733220795,0
1,positive,image_padding_count,36,11,11,25,0.5434510005764057,0.5434510005764057,0.5140725757204156,0.5140725757204156,0
1,positive,has_bio,36,11,11,25,,,,,0
1,positive,bio_missing_count,36,11,11,25,0.4979235152947687,0.4979235152947687,0.635641726163728,0.635641726163728,0
0,negative,report_length,43,4,4,39,1.1490812192854256,1.1490812192854256,0.5992491260932534,0.5992491260932534,0
0,negative,selected_n_visits,43,4,4,39,1.494793591606976,1.494793591606976,1.1078234188139946,1.1078234188139946,0
0,negative,used_images,43,4,4,39,1.494793591606976,1.494793591606976,1.1078234188139946,1.1078234188139946,0
0,negative,image_padding_count,43,4,4,39,0.4315292692969017,0.4315292692969017,-0.46291004988627577,0.46291004988627577,0
0,negative,has_bio,43,4,4,39,,,,,0
0,negative,bio_missing_count,43,4,4,39,-0.38276837370265687,0.38276837370265687,-0.7071067811865475,0.7071067811865475,0
