scope,k,inversion_group,top_patient_count,unique_pair_coverage_numerator,unique_pair_coverage_denominator,unique_pair_coverage,patient_side_incidence_numerator,patient_side_incidence_denominator,patient_side_incidence_share,unique_pair_responsibility_numerator,unique_pair_responsibility_denominator,unique_pair_responsibility
all,5,all_inversions,5,187,380,0.4921052631578947,525,1770,0.2966101694915254,187,380,0.4921052631578947
all,5,all_seed_inversion,5,151,215,0.7023255813953488,471,1290,0.36511627906976746,151,215,0.7023255813953488
all,5,majority_seed_inversion,5,18,75,0.24,36,300,0.12,18,75,0.24
all,5,single_seed_inversion,5,18,90,0.2,18,180,0.1,18,90,0.2
all,10,all_inversions,10,292,380,0.7684210526315789,799,1770,0.4514124293785311,292,380,0.7684210526315789
all,10,all_seed_inversion,10,198,215,0.9209302325581395,657,1290,0.5093023255813953,198,215,0.9209302325581395
all,10,majority_seed_inversion,10,48,75,0.64,96,300,0.32,48,75,0.64
all,10,single_seed_inversion,10,46,90,0.5111111111111111,46,180,0.25555555555555554,46,90,0.5111111111111111
all,20,all_inversions,20,376,380,0.9894736842105263,1173,1770,0.6627118644067796,376,380,0.9894736842105263
all,20,all_seed_inversion,20,215,215,1.0,921,1290,0.713953488372093,215,215,1.0
all,20,majority_seed_inversion,20,75,75,1.0,166,300,0.5533333333333333,75,75,1.0
all,20,single_seed_inversion,20,86,90,0.9555555555555556,86,180,0.4777777777777778,86,90,0.9555555555555556
hard_positive,5,all_inversions,5,138,380,0.3631578947368421,359,885,0.4056497175141243,138,380,0.3631578947368421
hard_positive,5,all_seed_inversion,5,103,215,0.4790697674418605,309,645,0.4790697674418605,103,215,0.4790697674418605
hard_positive,5,majority_seed_inversion,5,15,75,0.2,30,150,0.2,15,75,0.2
hard_positive,5,single_seed_inversion,5,20,90,0.2222222222222222,20,90,0.2222222222222222,20,90,0.2222222222222222
hard_positive,10,all_inversions,10,205,380,0.5394736842105263,522,885,0.5898305084745763,205,380,0.5394736842105263
hard_positive,10,all_seed_inversion,10,145,215,0.6744186046511628,435,645,0.6744186046511628,145,215,0.6744186046511628
hard_positive,10,majority_seed_inversion,10,27,75,0.36,54,150,0.36,27,75,0.36
hard_positive,10,single_seed_inversion,10,33,90,0.36666666666666664,33,90,0.36666666666666664,33,90,0.36666666666666664
hard_positive,20,all_inversions,20,305,380,0.8026315789473685,739,885,0.8350282485875706,305,380,0.8026315789473685
hard_positive,20,all_seed_inversion,20,186,215,0.8651162790697674,558,645,0.8651162790697674,186,215,0.8651162790697674
hard_positive,20,majority_seed_inversion,20,62,75,0.8266666666666667,124,150,0.8266666666666667,62,75,0.8266666666666667
hard_positive,20,single_seed_inversion,20,57,90,0.6333333333333333,57,90,0.6333333333333333,57,90,0.6333333333333333
hard_negative,5,all_inversions,5,165,380,0.4342105263157895,424,885,0.47909604519774013,165,380,0.4342105263157895
hard_negative,5,all_seed_inversion,5,117,215,0.5441860465116279,351,645,0.5441860465116279,117,215,0.5441860465116279
hard_negative,5,majority_seed_inversion,5,25,75,0.3333333333333333,50,150,0.3333333333333333,25,75,0.3333333333333333
hard_negative,5,single_seed_inversion,5,23,90,0.25555555555555554,23,90,0.25555555555555554,23,90,0.25555555555555554
hard_negative,10,all_inversions,10,271,380,0.7131578947368421,651,885,0.735593220338983,271,380,0.7131578947368421
hard_negative,10,all_seed_inversion,10,162,215,0.7534883720930232,486,645,0.7534883720930232,162,215,0.7534883720930232
hard_negative,10,majority_seed_inversion,10,56,75,0.7466666666666667,112,150,0.7466666666666667,56,75,0.7466666666666667
hard_negative,10,single_seed_inversion,10,53,90,0.5888888888888889,53,90,0.5888888888888889,53,90,0.5888888888888889
hard_negative,20,all_inversions,20,337,380,0.8868421052631579,778,885,0.8790960451977401,337,380,0.8868421052631579
hard_negative,20,all_seed_inversion,20,186,215,0.8651162790697674,558,645,0.8651162790697674,186,215,0.8651162790697674
hard_negative,20,majority_seed_inversion,20,69,75,0.92,138,150,0.92,69,75,0.92
hard_negative,20,single_seed_inversion,20,82,90,0.9111111111111111,82,90,0.9111111111111111,82,90,0.9111111111111111
