check,status,evidence
legacy_state_dict_keys,PASS,65
legacy_forward_equivalence,PASS,0.0
frozen_data_contract,PASS,"['/data/csb/DMEA-HT/HT_2025.12_25/manifest_distmatch_structmatch_evidence_v2_c13_temporal_focus.jsonl', '/data/csb/DMEA-HT/HT_2025.12_25/manifest_distmatch_structmatch_evidence_v2_c13_temporal_focus.jsonl', '/data/csb/DMEA-HT/HT_2025.12_25/manifest_distmatch_structmatch_evidence_v2_c13_temporal_focus.jsonl']"
frozen_encoder_and_input_contract,PASS,{}
frozen_pilot_optimizer_contract,PASS,{}
formal_seed_contract,PASS,"[[0], [42, 3407]]"
fixed_dssa_loss_weights,PASS,{}
forbidden_legacy_losses_disabled,PASS,{}
bounded_specific_residual_scale,PASS,"[0.1, 0.1, 0.1]"
validation_auc_checkpoint_contract,PASS,"['val_AUC', 'val_AUC', 'val_AUC']"
c16_output_shape,PASS,"(4,)"
all_outputs_finite,PASS,floating outputs
shared_attention_masked_sum,PASS,0.0
missing_modalities_masked,PASS,"[[0.3302609622478485, 0.32740023732185364, 0.34233883023262024], [0.0, 0.48717984557151794, 0.5128201842308044], [0.5074397325515747, 0.4925602674484253, 0.0], [0.4929766356945038, 0.0, 0.5070233941078186]]"
ranking_mixed_finite,PASS,0.5857452154159546
ranking_all_positive_zero,PASS,-0.0
ranking_all_negative_zero,PASS,-0.0
all_losses_finite,PASS,"{'proto_classification_loss': 0.5587654113769531, 'shared_consistency_loss': 0.9689175486564636, 'shared_specific_orth_loss': 0.007956184446811676, 'specific_variance_loss': 0.29254576563835144, 'prototype_separation_loss': 0.08491624891757965, 'pairwise_ranking_loss': 0.5857452154159546}"
gradient_dssa_shared_projectors,PASS,dssa.shared_projectors
gradient_dssa_specific_projectors,PASS,dssa.specific_projectors
gradient_dssa_prototypes,PASS,dssa.prototypes
gradient_dssa_shared_score,PASS,dssa.shared_score
gradient_dssa_specific_gates,PASS,dssa.specific_gates
gradient_dssa_specific_residual_projectors,PASS,dssa.specific_residual_projectors
gradient_dssa_classifier,PASS,dssa.classifier
prototype_not_collapsed,PASS,0.08491624891757965
specific_residual_controlled,PASS,0.0012678686762228608
shortcut_fields_absent,PASS,[]
