seed,parameter,trainable,numel
0,frozen_c17.base_model.image_encoder.backbone.0.weight,False,4704
0,frozen_c17.base_model.image_encoder.backbone.0.bias,False,32
0,frozen_c17.base_model.image_encoder.backbone.1.weight,False,32
0,frozen_c17.base_model.image_encoder.backbone.1.bias,False,32
0,frozen_c17.base_model.image_encoder.backbone.4.weight,False,18432
0,frozen_c17.base_model.image_encoder.backbone.4.bias,False,64
0,frozen_c17.base_model.image_encoder.backbone.5.weight,False,64
0,frozen_c17.base_model.image_encoder.backbone.5.bias,False,64
0,frozen_c17.base_model.image_encoder.proj.2.weight,False,16384
0,frozen_c17.base_model.image_encoder.proj.2.bias,False,256
0,frozen_c17.base_model.image_encoder.proj.3.weight,False,256
0,frozen_c17.base_model.image_encoder.proj.3.bias,False,256
0,frozen_c17.base_model.text_encoder.embedding.weight,False,12800000
0,frozen_c17.base_model.text_encoder.proj.1.weight,False,65536
0,frozen_c17.base_model.text_encoder.proj.1.bias,False,256
0,frozen_c17.base_model.text_encoder.proj.3.weight,False,256
0,frozen_c17.base_model.text_encoder.proj.3.bias,False,256
0,frozen_c17.base_model.bio_encoder.medical.0.weight,False,3584
0,frozen_c17.base_model.bio_encoder.medical.0.bias,False,256
0,frozen_c17.base_model.bio_encoder.medical.3.weight,False,256
0,frozen_c17.base_model.bio_encoder.medical.3.bias,False,256
0,frozen_c17.base_model.bio_encoder.observation.0.weight,False,1792
0,frozen_c17.base_model.bio_encoder.observation.0.bias,False,256
0,frozen_c17.base_model.bio_encoder.observation.3.weight,False,256
0,frozen_c17.base_model.bio_encoder.observation.3.bias,False,256
0,frozen_c17.base_model.bio_encoder.token_proj.weight,False,256
0,frozen_c17.base_model.bio_encoder.token_proj.bias,False,256
0,frozen_c17.base_model.evidence.role_queries,False,1536
0,frozen_c17.base_model.evidence.attn.in_proj_weight,False,196608
0,frozen_c17.base_model.evidence.attn.in_proj_bias,False,768
0,frozen_c17.base_model.evidence.attn.out_proj.weight,False,65536
0,frozen_c17.base_model.evidence.attn.out_proj.bias,False,256
0,frozen_c17.base_model.evidence.score.weight,False,256
0,frozen_c17.base_model.evidence.score.bias,False,1
0,frozen_c17.base_model.anchor.anchor,False,256
0,frozen_c17.base_model.anchor.attn.in_proj_weight,False,196608
0,frozen_c17.base_model.anchor.attn.in_proj_bias,False,768
