seed,mechanism,history_available_count,mean_conflict,std_conflict,min_conflict,max_conflict,finite,nonconstant
0,M1,62,0.06561566033261886,0.11995036217592621,0.0,0.5381541848182678,True,True
0,M2,2,6.2407331263763125e-06,5.93492015608823e-05,0.0,0.0005754232406616,True,True
0,M3,62,0.0003496243598613133,0.0009151872210434604,0.0,0.0081142783164978,True,True
0,M4,62,0.33445781976618666,0.34699784720032584,0.0,1.1407631635665894,True,True
0,M5,62,0.3283111116987594,0.33815883954645914,0.0,1.076015591621399,True,True
42,M1,62,0.09290486891218955,0.10512626668053726,0.0,0.3923179507255554,True,True
42,M2,2,2.2924960927759374e-05,0.00021783673820133364,0.0,0.0021120309829711,True,True
42,M3,62,0.00041217055726556204,0.0009771515010721632,0.0,0.0082636475563049,True,True
42,M4,62,0.3637758772423927,0.40708992740567806,0.0,1.155745267868042,True,True
42,M5,62,0.3325627585674854,0.3858310090132165,0.0,1.1588643789291382,True,True
3407,M1,62,0.09983285881103351,0.10852787451452807,0.0,0.4260467886924743,True,True
3407,M2,2,1.16057852481268e-05,0.00011025268832375532,0.0,0.0010689496994018,True,True
3407,M3,62,0.0004219133803184776,0.0010580347852724736,0.0,0.0092271566390991,True,True
3407,M4,62,0.32075713162726543,0.4026270272143358,0.0,1.152842998504639,True,True
3407,M5,62,0.3219860386341176,0.4237061391686962,0.0,1.1995733976364136,True,True
