seed,variant,patient_count,positive_count,negative_count,AUC,Sensitivity,Specificity,Balanced_ACC,TP,FN,TN,FP,positive_probability_mean,negative_probability_mean,positive_negative_probability_gap,mean_positive_probability_difference_vs_c17,c17_tp_to_variant_fn,c17_fn_to_variant_tp,c17_tn_to_variant_fp,c17_fp_to_variant_tn,material_positive_damage_count,severe_positive_damage_count,pairwise_eligible_count,pairwise_inversion_count
0,V0_official,94,47,47,0.901765504753282,0.851063829787234,0.7446808510638298,0.7978723404255319,40,7,35,12,0.7288978841710598,0.27197769512125153,0.4569201890498083,0.11505738645792007,5,10,5,4,12,8,2209,217
0,V1_uniform,94,47,47,0.8596650067904029,0.7021276595744681,0.8297872340425532,0.7659574468085106,33,14,39,8,0.6451865396601089,0.24945881657619426,0.3957277230839146,0.03134604194696913,8,6,4,7,15,11,2209,310
0,V2_recency_only,94,47,47,0.8755092802172929,0.8085106382978723,0.7659574468085106,0.7872340425531914,38,9,36,11,0.6900852166433283,0.2536411425693238,0.43644407407400454,0.07624471893018865,4,7,5,5,12,9,2209,275
0,V3_content_only,94,47,47,0.8755092802172929,0.7659574468085106,0.723404255319149,0.7446808510638299,36,11,34,13,0.6965174567192158,0.2686332228217036,0.42788423389751223,0.08267695900607616,8,9,6,4,15,11,2209,275
0,V4_latest_only,94,47,47,0.8678134902670892,0.8936170212765957,0.7446808510638298,0.8191489361702127,42,5,35,12,0.7807073854306277,0.29103765706036316,0.4896697283702645,0.16686688771748798,2,9,5,4,6,4,2209,292
0,V5_history_mean_only,62,31,31,0.6795005202913632,0.25806451612903225,0.9032258064516129,0.5806451612903225,8,23,28,3,0.3614678123304921,0.22465128493645498,0.1368165273940371,-0.22841870015667332,16,2,1,6,24,23,961,308
42,V0_official,94,47,47,0.8714350384789498,0.723404255319149,0.851063829787234,0.7872340425531915,34,13,40,7,0.6565118013544285,0.25456013940671024,0.4019516619477183,-0.07180607271321278,8,1,1,3,21,19,2209,284
42,V1_uniform,94,47,47,0.85740153915799,0.6595744680851063,0.851063829787234,0.7553191489361701,31,16,40,7,0.6090920583364812,0.23010246277331037,0.3789895955631708,-0.11922581573116019,11,1,1,3,27,22,2209,315
42,V2_recency_only,94,47,47,0.8718877320054323,0.723404255319149,0.8723404255319149,0.7978723404255319,34,13,41,6,0.6357467938610848,0.2276221192937265,0.4081246745673583,-0.09257108020655652,8,1,1,4,24,20,2209,283
42,V3_content_only,94,47,47,0.8524219103666819,0.6808510638297872,0.851063829787234,0.7659574468085106,32,15,40,7,0.6294672872791899,0.2561154357811555,0.3733518514980344,-0.09885058678845142,11,2,1,3,26,22,2209,326
42,V4_latest_only,94,47,47,0.8691715708465368,0.851063829787234,0.8297872340425532,0.8404255319148937,40,7,39,8,0.7331414988977795,0.25333149230821017,0.4798100065895693,0.004823624830138169,3,2,1,2,15,14,2209,289
42,V5_history_mean_only,62,31,31,0.6597294484911551,0.12903225806451613,0.8709677419354839,0.5,4,27,27,4,0.2992964831571425,0.22877898199423666,0.07051750116290587,-0.4004457691504109,23,1,2,5,28,27,961,327
3407,V0_official,94,47,47,0.8736985061113627,0.8085106382978723,0.8085106382978723,0.8085106382978723,38,9,38,9,0.6831299917812043,0.25553047425173064,0.4275995175294736,0.0393469067330056,4,5,3,4,9,8,2209,279
3407,V1_uniform,94,47,47,0.8537799909461294,0.7021276595744681,0.851063829787234,0.7765957446808511,33,14,40,7,0.5931829114226584,0.2342664468042711,0.35891646461838733,-0.050600173625540236,8,4,2,5,18,18,2209,323
3407,V2_recency_only,94,47,47,0.8587596197374376,0.7446808510638298,0.8297872340425532,0.7872340425531914,35,12,39,8,0.6291844464362936,0.2375105981061116,0.39167384833018193,-0.014598638611905123,6,4,2,4,16,12,2209,312
3407,V3_content_only,94,47,47,0.8718877320054323,0.7872340425531915,0.7872340425531915,0.7872340425531915,37,10,37,10,0.6602602142919886,0.2556535349762503,0.40460667931573824,0.016477129243789832,5,5,4,4,15,11,2209,283
3407,V4_latest_only,94,47,47,0.8623811679492983,0.851063829787234,0.8085106382978723,0.8297872340425532,40,7,38,9,0.7196113074475781,0.26453767344355583,0.45507363400402223,0.07582822239937935,3,6,2,3,8,7,2209,304
3407,V5_history_mean_only,62,31,31,0.663891779396462,0.16129032258064516,0.8387096774193549,0.5,5,26,26,5,0.31162997791844027,0.23129878403438675,0.08033119388405352,-0.31286438530491245,20,1,3,6,27,25,961,323
