seed,variant,eligible_pairs,official_inversions_on_eligible_pairs,variant_inversions,net_inversion_change,repaired,introduced
0,V0_official,2209,217,217,0,0,0
0,V1_uniform,2209,217,310,93,38,131
0,V2_recency_only,2209,217,275,58,55,113
0,V3_content_only,2209,217,275,58,17,75
0,V4_latest_only,2209,217,292,75,87,162
0,V5_history_mean_only,961,99,308,209,23,232
42,V0_official,2209,284,284,0,0,0
42,V1_uniform,2209,284,315,31,35,66
42,V2_recency_only,2209,284,283,-1,41,40
42,V3_content_only,2209,284,326,42,22,64
42,V4_latest_only,2209,284,289,5,89,94
42,V5_history_mean_only,961,161,327,166,32,198
3407,V0_official,2209,279,279,0,0,0
3407,V1_uniform,2209,279,323,44,34,78
3407,V2_recency_only,2209,279,312,33,16,49
3407,V3_content_only,2209,279,283,4,23,27
3407,V4_latest_only,2209,279,304,25,54,79
3407,V5_history_mean_only,961,142,323,181,47,228
