seed,variant,group_family,group,patient_count,positive_count,negative_count,validation_auc,positive_recall,mean_probability_change_vs_official,c17_tp_to_variant_fn,c17_fn_to_variant_tp,variant_inversions_within_group,official_inversions_within_group,strong_inference_allowed
0,V0_official,conflict_group,single_visit,32,16.0,16.0,0.9140625,0.875,0.0,1.0,2.0,22.0,22.0,True
0,V0_official,conflict_group,multi_visit_low_conflict,39,14.0,25.0,0.8857142857142857,0.7857142857142857,0.0,2.0,2.0,40.0,40.0,True
0,V0_official,conflict_group,multi_visit_medium_conflict,23,17.0,6.0,0.9019607843137256,0.8823529411764706,0.0,2.0,6.0,10.0,10.0,True
0,V0_official,conflict_group,multi_visit_high_conflict,0,,,,,,,,,,
0,V0_official,text_evidence_group,single_visit,32,16.0,16.0,0.9140625,0.875,0.0,1.0,2.0,22.0,22.0,True
0,V0_official,text_evidence_group,latest_positive_like_history_negative_like,19,11.0,8.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0,True
0,V0_official,text_evidence_group,latest_negative_like_history_positive_like,3,1.0,2.0,0.5,0.0,0.0,1.0,0.0,1.0,1.0,False
0,V0_official,text_evidence_group,latest_history_mixed_or_uncertain,40,19.0,21.0,0.8571428571428572,0.7894736842105263,0.0,3.0,7.0,57.0,57.0,True
0,V1_uniform,conflict_group,single_visit,32,16.0,16.0,0.9140625,0.875,0.0,1.0,2.0,22.0,22.0,True
0,V1_uniform,conflict_group,multi_visit_low_conflict,39,14.0,25.0,0.8485714285714285,0.6428571428571429,-0.04266309076681351,3.0,1.0,53.0,40.0,True
0,V1_uniform,conflict_group,multi_visit_medium_conflict,23,17.0,6.0,0.8725490196078431,0.5882352941176471,-0.1447373888576808,4.0,3.0,13.0,10.0,True
0,V1_uniform,conflict_group,multi_visit_high_conflict,0,,,,,,,,,,
0,V1_uniform,text_evidence_group,single_visit,32,16.0,16.0,0.9140625,0.875,0.0,1.0,2.0,22.0,22.0,True
0,V1_uniform,text_evidence_group,latest_positive_like_history_negative_like,19,11.0,8.0,0.9659090909090909,0.6363636363636364,-0.09506699918328144,3.0,0.0,3.0,0.0,True
0,V1_uniform,text_evidence_group,latest_negative_like_history_positive_like,3,1.0,2.0,0.5,0.0,-0.14129454145828882,1.0,0.0,1.0,1.0,False
