seed,probe,train_AUC,validation_AUC,train_validation_AUC_gap,maximum_allowed_gap,pass,authorization_candidate
0,P1_patient_state,0.979525612300085,0.8641919420552286,0.1153336702448563,0.15,True,True
0,P2_pre_projection,0.9862142801955829,0.8261656858306926,0.16004859436489027,0.15,False,True
0,P3_temporal_mechanisms,0.9846911181995783,0.8066998641919422,0.17799125400763616,0.15,False,True
0,P4_conflicts_negative_control,0.5708932572488162,0.6745133544590312,-0.10362009721021492,0.15,True,False
0,P5_C17_mechanism_reference,0.9245703689804748,0.7944771389769125,0.13009323000356232,0.15,True,False
42,P1_patient_state,0.9722629993046434,0.7962879130828429,0.17597508622180058,0.15,False,True
42,P2_pre_projection,0.9815896071787287,0.8085106382978724,0.17307896888085628,0.15,False,True
42,P3_temporal_mechanisms,0.9801216322115649,0.783612494341331,0.19650913787023394,0.15,False,True
42,P4_conflicts_negative_control,0.5878356751029237,0.6935264825712992,-0.10569080746837556,0.15,True,False
42,P5_C17_mechanism_reference,0.9160053421043918,0.7967406066093254,0.11926473549506633,0.15,True,False
3407,P1_patient_state,0.9552322822043907,0.8121321865097328,0.14310009569465787,0.15,True,True
3407,P2_pre_projection,0.975872230990828,0.7962879130828429,0.17958431790798512,0.15,False,True
3407,P3_temporal_mechanisms,0.9753865851370294,0.7958352195563604,0.17955136558066898,0.15,False,True
3407,P4_conflicts_negative_control,0.6008487765035705,0.7089180624717066,-0.10806928596813614,0.15,True,False
3407,P5_C17_mechanism_reference,0.9149899007737222,0.7397012222725214,0.17528867850120078,0.15,False,False
