seed,combination,AUC,Sensitivity,Specificity,Balanced_ACC,positive_probability_mean,negative_probability_mean,positive_negative_gap,TP,FN,TN,FP,material_positive_damage_count,severe_positive_damage_count,c17_tp_to_candidate_fn,c17_fn_to_candidate_tp,c27_tp_to_candidate_fn,c27_fn_to_candidate_tp,threshold_transition_count_vs_000,positive_threshold_transition_count_vs_000,negative_threshold_transition_count_vs_000,pairwise_inversion_count,AUC_change_vs_000,AUC_change_vs_111,sensitivity_change_vs_000,sensitivity_change_vs_111,material_damage_change_vs_000,material_damage_change_vs_111,inversion_change_vs_000,inversion_change_vs_111,minor_AUC_variation_vs_000,minor_threshold_variation_vs_000,minor_ranking_variation_vs_000
0,000,0.901765504753282,0.851063829787234,0.7446808510638298,0.7978723404255319,0.7288978841710598,0.27197769512125153,0.4569201890498083,40,7,35,12,12,8,5,10,0,0,0,0,0,217,0.0,0.004526935264825727,0.0,0.0,0,1,0,-10,True,True,True
0,001,0.8995020371208692,0.851063829787234,0.723404255319149,0.7872340425531915,0.7294482652177202,0.27629174140499946,0.45315652381272076,40,7,34,13,11,8,5,10,0,0,1,0,1,222,-0.002263467632412808,0.002263467632412919,0.0,0.0,-1,0,5,-5,False,True,False
0,010,0.8995020371208692,0.851063829787234,0.7446808510638298,0.7978723404255319,0.7279792351925627,0.27395705252568775,0.45402218266687494,40,7,35,12,11,8,5,10,0,0,0,0,0,222,-0.002263467632412808,0.002263467632412919,0.0,0.0,-1,0,5,-5,False,True,False
0,011,0.8976912630149388,0.851063829787234,0.723404255319149,0.7872340425531915,0.7283995384548573,0.2782816346932916,0.4501179037615657,40,7,34,13,11,8,5,10,0,0,1,0,1,226,-0.004074241738343143,0.00045269352648258376,0.0,0.0,-1,0,9,-1,False,True,False
0,100,0.9004074241738342,0.851063829787234,0.7446808510638298,0.7978723404255319,0.7285620906251542,0.2719004627891836,0.4566616278359706,40,7,35,12,12,8,5,10,0,0,0,0,0,220,-0.0013580805794477513,0.0031688546853779753,0.0,0.0,0,1,3,-7,True,True,True
0,101,0.8995020371208692,0.851063829787234,0.723404255319149,0.7872340425531915,0.7291017536153185,0.27622542588753585,0.45287632772778263,40,7,34,13,11,8,5,10,0,0,1,0,1,222,-0.002263467632412808,0.002263467632412919,0.0,0.0,-1,0,5,-5,False,True,False
0,110,0.8990493435943866,0.851063829787234,0.7446808510638298,0.7978723404255319,0.7276323502685161,0.273885901541786,0.45374644872673014,40,7,35,12,11,8,5,10,0,0,0,0,0,223,-0.0027161611588953916,0.001810774105930335,0.0,0.0,-1,0,6,-4,False,True,False
0,111,0.8972385694884563,0.851063829787234,0.723404255319149,0.7872340425531915,0.7280423785460756,0.2782217849719715,0.4498205935741041,40,7,34,13,11,8,5,10,0,0,1,0,1,227,-0.004526935264825727,0.0,0.0,0.0,-1,0,10,0,False,True,False
42,000,0.8714350384789498,0.723404255319149,0.851063829787234,0.7872340425531915,0.6565118013544285,0.25456013940671024,0.4019516619477183,34,13,40,7,21,19,8,1,0,0,0,0,0,284,0.0,0.005432322317790783,0.0,-0.06382978723404253,0,1,0,-12,True,True,True
42,001,0.8691715708465368,0.7872340425531915,0.8085106382978723,0.7978723404255319,0.6718541092060982,0.2673060447175769,0.4045480644885213,37,10,38,9,21,15,6,2,0,3,5,3,2,289,-0.002263467632412919,0.0031688546853778643,0.06382978723404253,0.0,0,1,5,-7,False,False,False
