seed,combination,positive_count,material_positive_damage_count,severe_positive_damage_count,c17_tp_to_candidate_fn,c17_fn_to_candidate_tp,c27_tp_to_candidate_fn,c27_fn_to_candidate_tp,positive_probability_mean,material_damage_rate
0,000,47,12,8,5,10,0,0,0.7288978841710598,0.2553191489361702
0,100,47,12,8,5,10,0,0,0.7285620906251542,0.2553191489361702
0,010,47,11,8,5,10,0,0,0.7279792351925627,0.23404255319148937
0,001,47,11,8,5,10,0,0,0.7294482652177202,0.23404255319148937
0,110,47,11,8,5,10,0,0,0.7276323502685161,0.23404255319148937
0,101,47,11,8,5,10,0,0,0.7291017536153185,0.23404255319148937
0,011,47,11,8,5,10,0,0,0.7283995384548573,0.23404255319148937
0,111,47,11,8,5,10,0,0,0.7280423785460756,0.23404255319148937
42,000,47,21,19,8,1,0,0,0.6565118013544285,0.44680851063829785
42,100,47,21,19,8,1,0,0,0.6568346746424412,0.44680851063829785
42,010,47,21,16,8,2,0,1,0.6671405482165357,0.44680851063829785
42,001,47,21,15,6,2,0,3,0.6718541092060982,0.44680851063829785
42,110,47,21,15,8,2,0,1,0.6674501188891999,0.44680851063829785
42,101,47,21,15,6,2,0,3,0.6721601898365832,0.44680851063829785
42,011,47,20,15,6,2,0,3,0.682257464908539,0.425531914893617
42,111,47,20,15,6,2,0,3,0.6825499103424397,0.425531914893617
3407,000,47,9,8,4,5,0,0,0.6831299917812043,0.19148936170212766
3407,100,47,9,8,4,5,0,0,0.6836572885513306,0.19148936170212766
3407,010,47,9,8,4,5,0,0,0.6855462409080343,0.19148936170212766
3407,001,47,9,8,4,5,0,0,0.6890637871432812,0.19148936170212766
3407,110,47,9,8,4,5,0,0,0.686066746077639,0.19148936170212766
3407,101,47,9,8,4,5,0,0,0.6895763081438998,0.19148936170212766
3407,011,47,9,8,4,5,0,0,0.6913983582499179,0.19148936170212766
3407,111,47,9,8,4,5,0,0,0.6919040359715198,0.19148936170212766
ALL,000,141,42,35,17,16,0,0,0.6895132257688975,0.2978723404255319
ALL,100,141,42,35,17,16,0,0,0.6896846846063086,0.2978723404255319
ALL,010,141,41,32,17,17,0,1,0.6935553414390442,0.2907801418439716
ALL,001,141,41,31,15,17,0,3,0.6967887205223665,0.2907801418439716
ALL,110,141,41,31,17,17,0,1,0.6937164050784517,0.2907801418439716
ALL,101,141,41,31,15,17,0,3,0.6969460838652671,0.2907801418439716
ALL,011,141,40,31,15,17,0,3,0.7006851205377714,0.28368794326241137
ALL,111,141,40,31,15,17,0,3,0.7008321082866784,0.28368794326241137
