seed,stratum,availability,patient_count,positive_count,negative_count,AUC_000,material_damage_000,inversions_000,AUC_100,material_damage_100,inversions_100,AUC_010,material_damage_010,inversions_010,AUC_001,material_damage_001,inversions_001,AUC_110,material_damage_110,inversions_110,AUC_101,material_damage_101,inversions_101,AUC_011,material_damage_011,inversions_011,AUC_111,material_damage_111,inversions_111,C27_AUC,C30_AUC,C30_minus_C27_AUC,positive_damage_change,inversion_change,probability_shapley_R1_mean,probability_shapley_R4_mean,probability_shapley_R5_mean
0,diffuse_ht_like_visible,available,83,45,38,0.8754385964912281,12,213,0.8742690058479532,12,215,0.8730994152046784,11,217,0.8730994152046784,11,217,0.8725146198830409,11,218,0.8730994152046784,11,217,0.8707602339181286,11,221,0.8701754385964912,11,222,0.8754385964912281,0.8701754385964912,-0.0052631578947369695,-1,9,-0.0003224594582126235,0.0002627251426648142,0.002234625252315301
0,generic_morphology_visible,available,86,47,39,0.889798145117294,12,202,0.8887070376432078,12,204,0.8881614839061648,11,205,0.8887070376432079,11,204,0.8881614839061648,11,205,0.8887070376432079,11,204,0.8865248226950354,11,208,0.8859792689579923,11,209,0.889798145117294,0.8859792689579923,-0.003818876159301765,-1,7,-0.0003270323427985718,0.00023107257014674324,0.0021085769439823467
0,opposition_normal_visible,available,28,15,13,0.9692307692307691,5,6,0.9692307692307691,5,6,0.964102564102564,4,7,0.964102564102564,4,7,0.964102564102564,4,7,0.964102564102564,4,7,0.964102564102564,4,7,0.964102564102564,4,7,0.9692307692307691,0.964102564102564,-0.00512820512820511,-1,1,-0.0001895290610956761,0.0021520149284264016,0.005439276496569278
0,latest_history_mixed,available,50,29,21,0.8669950738916257,10,81,0.8653530377668309,10,82,0.8620689655172414,9,84,0.8620689655172414,9,84,0.8620689655172414,9,84,0.8620689655172414,9,84,0.8555008210180625,9,88,0.8538587848932677,9,89,0.8669950738916257,0.8538587848932677,-0.013136288998357948,-1,8,-0.00048620471420383893,0.00014751192492743276,0.002460505956162983
0,latest_positive_history_negative,available,19,11,8,1.0,3,0,1.0,3,0,1.0,2,0,1.0,2,0,1.0,2,0,1.0,2,0,1.0,2,0,1.0,2,0,1.0,1.0,0.0,-1,0,-0.0004949550994001662,0.001214855799876279,0.004382705936829214
0,latest_negative_history_positive,available,7,2,5,0.9,2,1,0.9,2,1,0.8,1,2,0.8,1,2,0.8,1,2,0.8,1,2,0.8,1,2,0.8,1,2,0.9,0.8,-0.09999999999999998,-1,1,-0.00028868143757180187,0.003946840585697236,0.008054960341680567
42,diffuse_ht_like_visible,available,83,45,38,0.8350877192982455,21,282,0.8345029239766082,21,283,0.8333333333333333,21,285,0.8315789473684211,21,288,0.8315789473684211,21,288,0.8315789473684211,21,288,0.8280701754385964,20,294,0.827485380116959,20,295,0.8350877192982455,0.827485380116959,-0.007602339181286499,-1,13,0.00043686981645810733,0.01049594074697135,0.01521801470169216
42,generic_morphology_visible,available,86,47,39,0.8499727223131479,21,275,0.8499727223131479,21,275,0.8505182760501908,21,274,0.8488816148390617,21,277,0.8494271685761048,21,276,0.8488816148390617,21,277,0.8461538461538461,20,282,0.8461538461538461,20,282,0.8499727223131479,0.8461538461538461,-0.003818876159301765,-1,7,0.00038008542023885685,0.009900553668163262,0.014457815193188457
42,opposition_normal_visible,available,28,15,13,0.9282051282051282,6,14,0.9282051282051282,6,14,0.9282051282051282,6,14,0.9282051282051282,6,14,0.9282051282051282,6,14,0.9282051282051282,6,14,0.9282051282051282,6,14,0.9282051282051282,6,14,0.9282051282051282,0.9282051282051282,0.0,0,0,0.0006153298031893239,0.009556683467789723,0.020132169914653556
42,latest_history_mixed,available,50,29,21,0.7914614121510674,17,127,0.7914614121510674,17,127,0.7931034482758621,17,126,0.7848932676518883,17,131,0.7898193760262726,17,128,0.7848932676518883,17,131,0.7783251231527093,16,135,0.7783251231527093,16,135,0.7914614121510674,0.7783251231527093,-0.013136288998358059,-1,8,0.0004605564040442008,0.011453703021009709,0.017270361625899813
