seed,category,module_name,parameter_name,parameter_count,destination_evidence_role,trainable
0,frozen,c27.frozen_sources.image_encoder.backbone.0,c27.frozen_sources.image_encoder.backbone.0.weight,4704,frozen,False
0,frozen,c27.frozen_sources.image_encoder.backbone.0,c27.frozen_sources.image_encoder.backbone.0.bias,32,frozen,False
0,frozen,c27.frozen_sources.image_encoder.backbone.1,c27.frozen_sources.image_encoder.backbone.1.weight,32,frozen,False
0,frozen,c27.frozen_sources.image_encoder.backbone.1,c27.frozen_sources.image_encoder.backbone.1.bias,32,frozen,False
0,frozen,c27.frozen_sources.image_encoder.backbone.4,c27.frozen_sources.image_encoder.backbone.4.weight,18432,frozen,False
0,frozen,c27.frozen_sources.image_encoder.backbone.4,c27.frozen_sources.image_encoder.backbone.4.bias,64,frozen,False
0,frozen,c27.frozen_sources.image_encoder.backbone.5,c27.frozen_sources.image_encoder.backbone.5.weight,64,frozen,False
0,frozen,c27.frozen_sources.image_encoder.backbone.5,c27.frozen_sources.image_encoder.backbone.5.bias,64,frozen,False
0,frozen,c27.frozen_sources.image_encoder.proj.2,c27.frozen_sources.image_encoder.proj.2.weight,16384,frozen,False
0,frozen,c27.frozen_sources.image_encoder.proj.2,c27.frozen_sources.image_encoder.proj.2.bias,256,frozen,False
0,frozen,c27.frozen_sources.image_encoder.proj.3,c27.frozen_sources.image_encoder.proj.3.weight,256,frozen,False
0,frozen,c27.frozen_sources.image_encoder.proj.3,c27.frozen_sources.image_encoder.proj.3.bias,256,frozen,False
0,frozen,c27.frozen_sources.text_encoder.embedding,c27.frozen_sources.text_encoder.embedding.weight,12800000,frozen,False
0,frozen,c27.frozen_sources.text_encoder.proj.1,c27.frozen_sources.text_encoder.proj.1.weight,65536,frozen,False
0,frozen,c27.frozen_sources.text_encoder.proj.1,c27.frozen_sources.text_encoder.proj.1.bias,256,frozen,False
0,frozen,c27.frozen_sources.text_encoder.proj.3,c27.frozen_sources.text_encoder.proj.3.weight,256,frozen,False
0,frozen,c27.frozen_sources.text_encoder.proj.3,c27.frozen_sources.text_encoder.proj.3.bias,256,frozen,False
