split,error_type,n_errors,proportion_of_errors,false_negative_count,false_positive_count,mean_pred_prob,mean_abs_error
test_reporting_only,long_report_or_multivisit_uncertainty,25,0.2976190476190476,0,25,0.6515266704559326,0.6515266704559326
test_reporting_only,high_confidence_false_positive,18,0.21428571428571427,0,18,0.8472544186645083,0.8472544186645083
test_reporting_only,other_error,16,0.19047619047619047,0,16,0.6663632281124592,0.6663632281124592
test_reporting_only,morphology_positive_false_negative,11,0.13095238095238096,11,0,0.3776287612589923,0.6223712387410077
test_reporting_only,borderline_error,8,0.09523809523809523,1,7,0.5536869578063488,0.5569897331297398
test_reporting_only,morphology_low_confidence_false_positive,6,0.07142857142857142,0,6,0.6052752435207367,0.6052752435207367
val,long_report_or_multivisit_uncertainty,25,0.2604166666666667,0,25,0.6753969931602478,0.6753969931602478
val,other_error,25,0.2604166666666667,1,24,0.6786316859722138,0.6882144224643707
val,morphology_positive_false_negative,15,0.15625,15,0,0.3883575826883316,0.6116424173116684
val,high_confidence_false_positive,12,0.125,0,12,0.863869900504748,0.863869900504748
val,morphology_low_confidence_false_positive,10,0.10416666666666667,0,10,0.6412215232849121,0.6412215232849121
val,borderline_error,9,0.09375,0,9,0.5465827650494046,0.5465827650494046
